ts0,ts1,radio,command,arg,registry,msn,result
1647200000.0,24731,Iridium,IAK,,Primary,393,
1647200000.0,74681,APRS,GVT,,Primary,0,7.83031474995161
1647300000.0,486,Iridium,GVT,,Primary, 394,
1647300000.0,586,Iridium,GVT,,Primary, 394,7.13043825558988
1647300000.0,6831,Iridium,ITM,,Primary, 395,
1647300000.0,6876,Iridium,ITM,,Primary, 395,
1647300000.0,9267,Iridium,ITM,,Primary, 397,
1647300000.0,9388,Iridium,ITM,,Primary, 397,
1647300000.0,12243,Iridium,GCS,,Primary,403,0:-2887.4330840852526:8:1647300000:8652:1647200000:76744:44452.0:40119.84:6686639.999999999:1:-1.0:-1.0:15:0:0:9:0:0:1647200000:76744:1647200000:76744:1647200000:76744:1647300000:12046:999999:10
1647300000.0,12248,Iridium,GID,,Primary,404,-1.0:-1.0
1647300000.0,12251,Iridium,GSG,,Primary,405,1.554
1647300000.0,12255,Iridium,GMT,,Primary,406,0.13744900721997286
1647300000.0,12260,Iridium,GPW,,Primary,407,1.083
1647300000.0,12264,Iridium,GVT,,Primary,408,7.645390649678301
1647300000.0,12268,Iridium,ITM,,Primary,409,
1647300000.0,14842,Iridium,GVT,,Primary,410,7.207219759026454
1647300000.0,15562,Iridium,IAK,,Primary,411,
1647300000.0,44364,Iridium,ITM,,Primary,412,
1647300000.0,48073,Iridium,ITM,,Primary,413,
1647300000.0,54821,Iridium,ITM,,Primary,414,
1647300000.0,55502,Iridium,ITM,,Primary,415,
