ts0,ts1,phase
1644000000.0,7422,daylight
1644000000.0,7491,eclipse
1644000000.0,7574,daylight
1644000000.0,7644,eclipse
1644000000.0,7728,daylight
1644000000.0,7797,eclipse
1644000000.0,7880,daylight
1644000000.0,7950,eclipse
1644000000.0,8034,daylight
1644000000.0,8103,eclipse
1644000000.0,8186,daylight
1644000000.0,8256,eclipse
1644000000.0,8355,daylight
1644000000.0,8442,eclipse
1644000000.0,8511,daylight
1644000000.0,8594,eclipse
1644000000.0,8665,daylight
1644000000.0,8748,eclipse
1644000000.0,8910,daylight
