ts0,ts1,bcr1,bcr2,bcr3
1647200000.0,24227,0.016,3.261,0.0
1647200000.0,24327,0.016,3.408,0.0
1647200000.0,24387,0.016,3.355,0.0
1647200000.0,24482,0.016,3.79,0.0
1647200000.0,24550,0.016,2.637,0.0
1647200000.0,24609,0.016,3.275,0.0
1647200000.0,24673,0.016,3.415,0.0
1647200000.0,25774,0.016,3.292,0.0
1647200000.0,25832,0.017,4.083,0.0
1647200000.0,25964,0.016,4.816,0.0
1647200000.0,26033,0.017,2.332,0.0
1647200000.0,74216,0.016,6.039,0.0
1647200000.0,74267,0.017,2.212,0.0
1647200000.0,74325,0.016,1.152,0.0
1647200000.0,74372,0.016,1.188,0.0
1647200000.0,74420,0.016,1.116,0.0
1647200000.0,74467,0.016,1.23,0.0
1647200000.0,74513,0.016,1.13,0.0
1647200000.0,74561,0.016,4.272,0.0
1647200000.0,74608,0.017,1.128,0.0
1647200000.0,74702,0.016,3.306,0.0
1647200000.0,74754,0.016,2.358,0.0
1647200000.0,74817,0.016,1.206,0.0
1647200000.0,74864,0.016,1.166,0.0
1647300000.0,8645,0.016,1.912,0.0
1647300000.0,8802,0.016,1.711,0.0
1647300000.0,8995,0.016,1.671,0.0
1647300000.0,11963,0.016,1.538,0.0
1647300000.0,12292,0.016,1.655,0.0
1647300000.0,12458,0.016,1.514,0.0
1647300000.0,12628,0.015,1.672,0.0
1647300000.0,12845,0.016,1.648,0.0
1647300000.0,13012,0.016,1.829,0.0
1647300000.0,13179,0.016,1.811,0.0
1647300000.0,14448,0.016,1.477,0.0
1647300000.0,14642,0.016,1.551,0.0
1647300000.0,14884,0.016,1.596,0.0
1647300000.0,15110,0.017,1.49,0.0
1647300000.0,15304,0.016,1.59,0.0
1647300000.0,15610,0.016,1.493,0.0
1647300000.0,15659,0.015,1.779,0.0
1647300000.0,15707,0.016,1.495,0.0
1647300000.0,15756,0.017,1.706,0.0
1647300000.0,15805,0.016,1.011,0.0
1647300000.0,15853,0.016,1.531,0.0
1647300000.0,15901,0.016,1.523,0.0
1647300000.0,15989,0.016,1.202,0.0
1647300000.0,16037,0.016,1.223,0.0
1647300000.0,16083,0.015,1.292,0.0
1647300000.0,16130,0.015,1.168,0.0
1647300000.0,16178,0.016,0.786,0.0
1647300000.0,16224,0.016,1.163,0.0
1647300000.0,16271,0.016,1.176,0.0
1647300000.0,16318,0.016,1.152,0.0
1647300000.0,16364,0.016,1.175,0.0
1647300000.0,16411,0.016,1.15,0.0
1647300000.0,16459,0.016,1.157,0.0
1647300000.0,16506,0.016,1.162,0.0
1647300000.0,16552,0.016,1.139,0.0
1647300000.0,16599,0.016,1.139,0.0
1647300000.0,16646,0.016,1.181,0.0
1647300000.0,16692,0.016,1.243,0.0
1647300000.0,16740,0.016,1.149,0.0
1647300000.0,16787,0.016,1.258,0.0
1647300000.0,16833,0.016,1.151,0.0
1647300000.0,16881,0.016,1.206,0.0
1647300000.0,17021,0.017,1.174,0.0
1647300000.0,17069,0.016,1.349,0.0
1647300000.0,17116,0.016,1.199,0.0
1647300000.0,17162,0.016,1.139,0.0
1647300000.0,17210,0.016,1.156,0.0
1647300000.0,17257,0.016,1.217,0.0
1647300000.0,17402,0.016,1.264,0.0
1647300000.0,17450,0.016,1.227,0.0
1647300000.0,17496,0.016,1.172,0.0
1647300000.0,17543,0.016,1.205,0.0
1647300000.0,17591,0.016,1.156,0.0
1647300000.0,17637,0.016,1.199,0.0
1647300000.0,17684,0.016,1.219,0.0
1647300000.0,17825,0.015,1.346,0.0
1647300000.0,17872,0.016,1.149,0.0
1647300000.0,17919,0.016,1.156,0.0
1647300000.0,17966,0.016,1.156,0.0
1647300000.0,18013,0.016,1.223,0.0
1647300000.0,18060,0.016,1.218,0.0
1647300000.0,18143,0.016,1.23,0.0
1647300000.0,18191,0.016,1.327,0.0
1647300000.0,18238,0.016,1.155,0.0
1647300000.0,18284,0.016,1.283,0.0
1647300000.0,18332,0.016,1.195,0.0
1647300000.0,18379,0.016,1.149,0.0
1647300000.0,18426,0.016,1.201,0.0
1647300000.0,18515,0.016,1.219,0.0
1647300000.0,18563,0.016,0.809,0.0
1647300000.0,18610,0.016,1.201,0.0
1647300000.0,18656,0.016,1.279,0.0
1647300000.0,18704,0.016,1.319,0.0
1647300000.0,18751,0.016,0.81,0.0
1647300000.0,18797,0.016,1.267,0.0
1647300000.0,18887,0.016,1.321,0.0
1647300000.0,18935,0.016,1.222,0.0
1647300000.0,18981,0.016,1.206,0.0
1647300000.0,19028,0.016,1.212,0.0
1647300000.0,19076,0.015,1.132,0.0
1647300000.0,19122,0.016,1.219,0.0
1647300000.0,19178,0.016,1.206,0.0
1647300000.0,19225,0.015,1.149,0.0
1647300000.0,19271,0.016,1.251,0.0
1647300000.0,19318,0.016,0.858,0.0
1647300000.0,19366,0.016,1.302,0.0
1647300000.0,19413,0.017,1.219,0.0
1647300000.0,19459,0.016,1.163,0.0
1647300000.0,19535,0.016,1.315,0.0
1647300000.0,19583,0.016,1.248,0.0
1647300000.0,19630,0.016,1.237,0.0
1647300000.0,19677,0.016,1.325,0.0
1647300000.0,19725,0.016,1.158,0.0
1647300000.0,19771,0.016,1.187,0.0
1647300000.0,19827,0.016,1.199,0.0
1647300000.0,19874,0.016,1.214,0.0
1647300000.0,19921,0.017,0.841,0.0
1647300000.0,19968,0.016,1.175,0.0
1647300000.0,20015,0.016,1.183,0.0
1647300000.0,20062,0.016,1.2,0.0
1647300000.0,20109,0.016,1.187,0.0
1647300000.0,20184,0.016,1.148,0.0
1647300000.0,20231,0.015,1.204,0.0
1647300000.0,20278,0.016,1.149,0.0
1647300000.0,20325,0.016,1.223,0.0
1647300000.0,20373,0.016,1.138,0.0
1647300000.0,20419,0.016,1.202,0.0
1647300000.0,20466,0.016,1.206,0.0
1647300000.0,20597,0.016,0.857,0.0
1647300000.0,20645,0.016,1.212,0.0
1647300000.0,20691,0.016,1.216,0.0
1647300000.0,20738,0.016,1.235,0.0
1647300000.0,20786,0.016,1.161,0.0
1647300000.0,20832,0.016,1.2,0.0
1647300000.0,20879,0.016,1.215,0.0
1647300000.0,20926,0.016,1.163,0.0
1647300000.0,20972,0.016,1.204,0.0
1647300000.0,21019,0.016,1.239,0.0
1647300000.0,21067,0.016,1.243,0.0
1647300000.0,21113,0.016,1.195,0.0
1647300000.0,21160,0.016,1.306,0.0
1647300000.0,21230,0.016,1.223,0.0
1647300000.0,21278,0.016,1.33,0.0
1647300000.0,21325,0.016,1.124,0.0
1647300000.0,21372,0.016,1.241,0.0
1647300000.0,21419,0.017,0.895,0.0
1647300000.0,21466,0.016,1.308,0.0
1647300000.0,21513,0.016,1.212,0.0
1647300000.0,21611,0.016,1.228,0.0
1647300000.0,21659,0.016,1.212,0.0
1647300000.0,21705,0.016,1.216,0.0
1647300000.0,21752,0.016,1.229,0.0
1647300000.0,21800,0.016,1.228,0.0
1647300000.0,21846,0.016,1.228,0.0
1647300000.0,21893,0.017,1.161,0.0
1647300000.0,21940,0.016,0.772,0.0
1647300000.0,21986,0.016,1.156,0.0
1647300000.0,22033,0.016,1.217,0.0
1647300000.0,22081,0.016,1.212,0.0
1647300000.0,22128,0.016,1.236,0.0
1647300000.0,22174,0.016,1.23,0.0
1647300000.0,22221,0.016,1.324,0.0
1647300000.0,22268,0.016,1.208,0.0
1647300000.0,22315,0.016,1.23,0.0
1647300000.0,22362,0.016,1.144,0.0
1647300000.0,22409,0.016,1.165,0.0
1647300000.0,22456,0.016,1.193,0.0
1647300000.0,22504,0.016,1.216,0.0
1647300000.0,22550,0.016,1.155,0.0
1647300000.0,22598,0.016,0.772,0.0
1647300000.0,22645,0.016,1.204,0.0
1647300000.0,22691,0.016,1.237,0.0
1647300000.0,22738,0.016,1.289,0.0
1647300000.0,22786,0.016,1.208,0.0
