ts0,ts1,radio,size
16472.0,24198,Iridium,61
16472.0,24282,Iridium,61
16472.0,24298,Iridium,19
16472.0,24453,Iridium,19
16472.0,24731,Iridium,19
16472.0,25889,Iridium,61
16472.0,25907,Iridium,19
16472.0,25934,Iridium,19
16472.0,74302,APRS,98
16472.0,74429,APRS,98
16472.0,74578,APRS,98
16472.0,74681,APRS,32
16472.0,74789,APRS,97
16472.0,74794,APRS,107
16473.0,470,Iridium,25
16473.0,555,Iridium,23
16473.0,580,Iridium,90
16473.0,6810,Iridium,25
16473.0,6827,Iridium,61
16473.0,9030,Iridium,19
16473.0,9142,Iridium,19
16473.0,9331,Iridium,23
16473.0,9357,Iridium,90
16473.0,9387,Iridium,94
16473.0,12057,Iridium,25
16473.0,12070,Iridium,61
16473.0,12083,Iridium,19
16473.0,12107,Iridium,19
16473.0,12684,Iridium,96
16473.0,13237,Iridium,19
16473.0,13877,Iridium,62
16473.0,14700,Iridium,96
16473.0,14864,Iridium,12
16473.0,14928,Iridium,96
16473.0,14956,Iridium,19
16473.0,15356,Iridium,96
16473.0,15369,Iridium,15
16473.0,15402,Iridium,12
16473.0,15426,Iridium,19
16473.0,15590,Iridium,9
16473.0,15967,Iridium,46
16473.0,16925,Iridium,12
16473.0,16941,Iridium,12
16473.0,16971,Iridium,12
16473.0,16998,Iridium,46
16473.0,17323,Iridium,12
16473.0,17344,Iridium,12
16473.0,17370,Iridium,9
16473.0,17734,Iridium,9
16473.0,17749,Iridium,19
16473.0,17764,Iridium,9
16473.0,17777,Iridium,46
16473.0,17802,Iridium,46
16473.0,18483,Iridium,46
16473.0,18843,Iridium,46
16473.0,18864,Iridium,46
16473.0,19493,Iridium,46
16473.0,19513,Iridium,46
16473.0,20537,Iridium,46
16473.0,20574,Iridium,46
16473.0,21553,Iridium,46
16473.0,21588,Iridium,46
16473.0,22235,Iridium,46
16473.0,22575,Iridium,46
16473.0,22865,Iridium,46
16473.0,23233,Iridium,46
16473.0,23557,Iridium,46
16473.0,23928,Iridium,46
16473.0,23962,Iridium,46
16473.0,24617,Iridium,46
16473.0,24939,Iridium,46
16473.0,25252,Iridium,46
16473.0,25289,Iridium,46
16473.0,25602,Iridium,46
16473.0,25636,Iridium,46
16473.0,26305,Iridium,46
16473.0,26325,Iridium,46
16473.0,26984,Iridium,46
16473.0,27026,Iridium,46
16473.0,27350,Iridium,46
16473.0,27377,Iridium,46
16473.0,29613,Iridium,46
16473.0,30276,Iridium,46
16473.0,31247,Iridium,46
16473.0,31935,Iridium,46
16473.0,31962,Iridium,46
16473.0,32590,Iridium,46
16473.0,32629,Iridium,46
16473.0,32957,Iridium,46
16473.0,32981,Iridium,46
16473.0,33651,Iridium,46
16473.0,34311,Iridium,46
16473.0,34916,Iridium,46
16473.0,34970,Iridium,46
16473.0,35307,Iridium,46
16473.0,35959,Iridium,46
16473.0,36582,Iridium,46
16473.0,36954,Iridium,46
16473.0,36983,Iridium,46
16473.0,37640,Iridium,46
16473.0,37673,Iridium,46
16473.0,38010,Iridium,46
16473.0,39050,Iridium,46
16473.0,39354,Iridium,46
16473.0,39374,Iridium,46
16473.0,40005,Iridium,46
16473.0,40028,Iridium,46
16473.0,40677,Iridium,46
16473.0,41042,Iridium,46
16473.0,41069,Iridium,46
16473.0,42708,Iridium,46
16473.0,44337,Iridium,46
16473.0,44359,Iridium,46
16473.0,44999,Iridium,9
16473.0,45020,Iridium,46
16473.0,45050,Iridium,46
16473.0,45382,Iridium,46
16473.0,46022,Iridium,46
16473.0,46050,Iridium,46
16473.0,46384,Iridium,46
16473.0,46709,Iridium,46
16473.0,47061,Iridium,46
16473.0,47413,Iridium,46
16473.0,48068,Iridium,46
16473.0,48386,Iridium,46
16473.0,48405,Iridium,9
16473.0,48431,Iridium,46
16473.0,49096,Iridium,46
16473.0,49724,Iridium,46
16473.0,49767,Iridium,46
16473.0,50740,Iridium,46
16473.0,51347,Iridium,46
16473.0,52334,Iridium,46
16473.0,53018,Iridium,46
16473.0,53350,Iridium,46
16473.0,53662,Iridium,46
16473.0,54030,Iridium,46
16473.0,54400,Iridium,46
16473.0,54788,Iridium,46
16473.0,54815,Iridium,46
16473.0,55462,Iridium,9
16473.0,55488,Iridium,46
